,experiment_ID,cell_type,STTC,IT_lfp,LFP_Amp,LFP_Freq,Input_Amp_nS,Input_Freq_nS
0,220214_1_001,IP-derived,0.5963006344454331,194.1526747006794,327.10676719554743,2.8931049586205306,2.999322957737716,3.4140943774637496
1,220214_1_002,IP-derived,0.24445871350549805,159.63251711973928,298.91939572706406,1.8386459044619556,2.63429162658275,0.5866496660150987
2,220215_1_002,IP-derived,0.2798844997981315,102.86837480746901,298.581555228851,0.5079527595984391,2.401890857309725,0.22416694555048486
3,220215_1_003,IP-derived,0.1674162941926296,122.95917711649636,352.41482528474427,1.093719183117279,1.4934803843783506,0.12550875871837627
4,220216_1_001,IP-derived,0.5275630580429097,226.4780832646529,378.67134868267914,1.3283083901236177,2.8530701610606584,1.3306931448635164
5,220216_1_002,IP-derived,0.22478856190720287,87.01380712575367,306.3232049703939,1.3739366974803475,1.2611257088581795,0.4218631134880933
6,220419_2_001,IP-derived,0.39331010922168297,131.56286908485885,224.66435972119703,1.0085525254155236,1.3844795976493336,0.5647894142326932
7,220419_2_002,IP-derived,0.3772805025361074,205.80333598193587,296.4353862172591,2.6773982144092106,1.1777372187061619,0.5335037032402117
8,220419_2_003,IP-derived,0.2927423295158555,165.69356374301242,233.1018051546475,1.8724824245450475,1.0989515456723935,0.22574178358626706
9,220421_1_001,IP-derived,0.6168996288673203,252.49826401600743,363.17514255812705,1.695648944317655,2.6891515046207273,1.4395086204026013
10,220421_1_002,IP-derived,0.4268201552058755,216.9806129097108,277.4259571198616,1.1087570989084208,1.028444412954504,0.25432255387436614
11,220131_1_001,Unlabeled,0.20482357763648196,86.9605585357273,280.14543274627613,1.3139998616842252,1.249303167864166,0.7793561932661498
12,220310_2_001,Unlabeled,0.46236719879709204,86.55892043294817,187.78289593361916,0.48410521219945135,1.58914296501849,0.5071578413518062
13,220329_1_002,Unlabeled,0.447988846648658,230.13373900502756,297.31545107692136,0.42687109844188076,2.0215003646612293,0.27186204034846034
14,220329_2_001,Unlabeled,0.6441997837050414,208.8426302564866,319.58699075039226,1.2003833322904762,2.78077130291217,2.0129885099109837
15,220329_2_002,Unlabeled,0.6339202002664318,319.8852508263492,324.6107086588607,1.7266419235113764,1.36477656515715,0.8759999077894833
16,220329_2_003,Unlabeled,0.4583501171699452,337.280371110038,352.52506886044904,1.8672629613407408,1.680580613015731,0.1452315636598354
17,220329_2_005,Unlabeled,0.619675762952757,380.5583942846621,369.42086033324125,1.7455450794163074,2.061215712014669,0.7275409760483182
18,220404_2_001,Unlabeled,0.7810128634008662,188.1654423514083,314.6518153229129,0.9197999031789575,4.962354470817714,1.2932524954471059
19,220404_2_002,Unlabeled,0.6211485895494364,312.8762416752113,374.092021748965,1.9364208487978054,2.5360481701028346,1.5267933615521159
20,220404_2_003,Unlabeled,0.5564244302146923,348.2253450508972,379.18075958728764,2.5588418359113856,2.042450961158405,1.22001606590924
21,220405_2_003,Unlabeled,0.5241121761115286,203.68211639971736,312.9619955186087,3.05677862560225,2.337235124523637,3.0152838931280113
22,220728_002,distal,0.18294526356113056,83.1802471488571,187.23170494696623,0.4867651309478,1.6826340636625083,1.6305301927377127
23,220728_003,distal,0.11421917825285964,128.12140409312457,224.52421436693538,1.5034323360231407,1.4538130738591244,0.4029198660542017
24,220801_001,distal,0.19876197671057005,30.734012033234805,237.82200455997605,0.3051083270164609,2.905103742478638,0.5207182114414266
25,220722_001,distal,0.3125349864055463,146.34614158640633,290.76819577066004,3.5443417321745545,2.8017995077129405,2.4551050047257887
