interneuron_type,pyramidal_type,Pair_ID,distance_apart,N1_IPSC_peak,N2_IPSC_peak,N1_pial_dist,N2_pial_dist,bias_index
PV,unlabeled,P 201009_002,,221.43630676269527,332.34248046875,,,0.3998641910242557
PV,unlabeled,P 201009_003,,58.17148933410645,309.37706451416017,,,0.15826885652261635
PV,unlabeled,P 201013_002,,414.956103515625,518.2045288085938,,,0.4446781070072532
PV,unlabeled,P 201021_002,88.0,561.7029052734375,653.3373840332031,252.0,230.0,0.4622915883669764
PV,unlabeled,P 201021_003,58.0,274.93088989257814,332.1035446166992,150.0,164.0,0.45290822771006467
PV,unlabeled,P 201021_004,,827.3465698242187,166.5746940612793,173.0,73.0,0.8324065495790931
SST,unlabeled,P 191202_002,,1247.96669921875,1033.97265625,,,0.5468886349796951
SST,unlabeled,P 191202_003,,389.4367980957031,492.30524291992185,,,0.44166749455105325
SST,unlabeled,P 191207_001,,445.3795043945312,426.8207275390625,,,0.5106390575099513
SST,unlabeled,P 200117_002,,854.6324462890625,1041.4542236328125,,,0.4507349056592841
SST,unlabeled,P 200117_003,,622.9257507324219,525.921044921875,,,0.5422182949795757
SST,unlabeled,P 200117_004,,659.8121978759766,640.39560546875,,,0.5074667266098843
SST,unlabeled,P 200123_002,,262.137940979004,223.7199264526367,,,0.53953626883666
SST,unlabeled,P 200123_003,,283.67757110595704,234.526953125,,,0.54742395683818
SST,unlabeled,P 210416_005,30.0,288.2656987508138,101.9597282409668,,,0.7387158263187334
SST,unlabeled,P 210429_002,60.0,600.46953125,431.9950866699219,375.0,380.0,0.5815884833513709
SST,unlabeled,P 210429_004,75.0,663.3571105957031,307.9042633056641,220.0,220.0,0.6829851659096945
SST,unlabeled,P 210429_005,65.0,218.6160690307617,904.8759216308594,175.0,200.0,0.19458622833796918
SST,unlabeled,P 210502_001,62.0,504.871029663086,965.6365417480469,175.0,200.0,0.34333113237805374
SST,unlabeled,P 210502_002,25.0,702.9032043457031,556.1799285888671,,,0.5582659206206921
SST,unlabeled,P 210502_003,75.0,469.194921875,415.0892822265625,165.0,125.0,0.530592901805483
SST,unlabeled,P 210502_004,80.0,746.4642740885416,513.693871392144,220.0,220.0,0.5923576154037428
SST,unlabeled,P 210512_006,70.0,576.8012152777778,477.4615410698785,360.0,400.0,0.5471133375478651
VIP,unlabeled,P 210217_003,,200.2157016330295,282.0376502143012,,,0.4151670504021977
VIP,unlabeled,P 210217_005,60.0,183.8531755719866,264.3085196358817,,,0.4102384865505095
VIP,unlabeled,P 210225_004,75.0,169.46936416625977,103.4677734375,420.0,430.0,0.6209098756369653
VIP,unlabeled,P 210226_002,75.0,124.32192459106446,467.5772003173828,340.0,300.0,0.21003904104486404
VIP,unlabeled,P 210305_001,50.0,74.4544921875,80.23208084106446,300.0,340.0,0.4813248540566686
VIP,unlabeled,P 210307_005,50.0,21.53571014404297,32.78535919189453,,,0.3964522496944932
VIP,unlabeled,P 210310_001,50.0,165.17240447998046,156.97802658081054,175.0,175.0,0.5127182476090241
VIP,unlabeled,P 210310_002,10.0,123.44451446533203,65.55504989624023,400.0,400.0,0.6531470846629687
VIP,unlabeled,P 210310_003,55.0,377.847669813368,526.9638366699219,350.0,350.0,0.4175982147728646
VIP,unlabeled,P 210310_004,,30.826854705810547,106.895157623291,350.0,350.0,0.22383389688023483
VIP,unlabeled,P 210311_006,50.0,11.915539407730105,26.72574977874756,160.0,160.0,0.30836288484649965
VIP,unlabeled,P 210312_005,75.0,58.19499168395996,62.93848876953125,200.0,250.0,0.48042037152811545
VIP,unlabeled,P 210315_001,80.0,158.3489761352539,229.65811004638672,310.0,350.0,0.4081084644447056
VIP,unlabeled,P 210315_002,75.0,141.12197570800782,163.4214988708496,275.0,275.0,0.46338860454377
VIP,unlabeled,P 210315_003,60.0,290.8887878417969,241.0840217590332,250.0,250.0,0.5468113831984526
VIP,unlabeled,P 210315_004,50.0,8.480322980880738,31.531917762756347,150.0,180.0,0.21194321595771448
VIP,unlabeled,P 210323_003,65.0,370.36488647460936,81.15649223327637,300.0,350.0,0.820259912242647
